"Team","Goals","Behinds","Ratio"
"Hawthorn",2873,2337,1.22935387248609
"Essendon",2135,2000,1.0675
"Brisbane",1966,1813,1.08439051296194
"Western.Bulldogs",2287,1971,1.16032470826991
"Adelaide",2472,2190,1.12876712328767
"Melbourne",1871,1708,1.09543325526932
"West.Coast",2445,2127,1.14950634696756
"GWS.Giants",1355,1230,1.10162601626016
"Collingwood",2509,2338,1.07313943541488
"Fremantle",2232,1945,1.14755784061697
"Carlton",2227,2051,1.08581179912238
"North.Melbourne",2402,2052,1.17056530214425
"St.Kilda",2149,1941,1.10716125708398
"Gold.Coast",1518,1469,1.03335602450647
"Sydney",2546,2221,1.14633048176497
"Geelong",2740,2310,1.18614718614719
"Port.Adelaide",2213,1905,1.16167979002625
"Richmond",2160,1989,1.08597285067873
