"Home.Team","Away.wins","Home.wins","Colour1","Colour1.1","Colour1.2","Colour2","Colour2.1","Colour2.2","Colour3","Colour3.1","Colour3.2","hex1","hex2","hex3"
"Adelaide",40,57,15,29,66,235,24,31,249,218,20,"#0F1D42","#EB181F","#F9DA14"
"Brisbane",20,33,155,0,51,14,43,141,254,186,53,"#9B0033","#0E2B8D","#FEBA35"
"Carlton",36,39,1,25,49,255,255,255,121,189,232,"#011931","#FFFFFF","#79BDE8"
"Collingwood",52,62,0,0,0,255,255,255,NA,NA,NA,"#000000","#FFFFFF",NA
"Essendon",32,39,0,0,0,204,12,0,NA,NA,NA,"#000000","#CC0C00",NA
"Fremantle",38,60,45,0,84,255,255,255,NA,NA,NA,"#2D0054","#FFFFFF",NA
"Geelong",51,82,12,35,64,255,255,255,NA,NA,NA,"#0c2340","#FFFFFF",NA
"Gold Coast",10,25,252,25,33,255,232,49,9,90,165,"#FC1921","#FFE831","#095AA5"
"GWS Giants",15,24,247,143,30,84,83,74,NA,NA,NA,"#F78F1E","#54534A",NA
"Hawthorn",55,76,54,21,0,255,179,0,NA,NA,NA,"#361500","#FFB300",NA
"Melbourne",18,30,1,25,49,204,12,0,NA,NA,NA,"#011931","#CC0C00",NA
"North Melbourne",41,50,14,43,141,255,255,255,NA,NA,NA,"#0E2B8D","#FFFFFF",NA
"Port Adelaide",32,42,0,0,0,255,255,255,0,142,143,"#000000","#FFFFFF","#008E8F"
"Richmond",39,40,0,0,0,255,214,0,NA,NA,NA,"#000000","#FFD600",NA
"St Kilda",35,44,0,0,0,255,255,255,252,25,33,"#000000","#FFFFFF","#FC1921"
"Sydney",59,60,242,0,23,255,255,255,NA,NA,NA,"#F20017","#FFFFFF",NA
"West Coast",40,59,5,23,63,255,255,255,NA,NA,NA,"#05173F","#FFFFFF",NA
"Western Bulldogs",39,48,13,54,146,255,255,255,242,0,23,"#0D3692","#FFFFFF","#F20017"
